# Corpus pinned by upstream commit. Regenerate: scripts/manifest.py
# Never edit by hand; baseline/*.tsv numbers are only valid against these bytes.
# origin	aman	https://github.com/hhu-stups/AMAN-abstraction-example@1376af673eab5f96c0408328ba76dde2e07b65e4 Abstraction/
# origin	ertms	https://github.com/eventB-Soton/ERTMS-HL3@6b81638c95ab6cd2397c846ed78f78e6adb5780f developments/HL3_abz2018.zip HL3/
project	file	bytes	sha256
aman	M0_AMAN_Update.bpo	3191	1f985e74dc7b5143fb666521d9fb799a05de82dae158bf6c4a63e332508e8b1f
aman	M0_AMAN_Update.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
aman	M0_AMAN_Update.bum	2413	e9b4836011baac55a5944765f3a4d38379c280a328d796729e211aca3176a265
aman	M0_AMAN_Update_Ctx.bpo	858	f4c8d764b2351f5aae9e8ca77508681aa15d5cd38e6a29cc1ef6d26be68d65ac
aman	M0_AMAN_Update_Ctx.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
aman	M0_AMAN_Update_Ctx.buc	751	e0d42a5cce734068056fd56270f20230e75b3d49998412969df32e971f9c5d65
aman	M0_AMAN_Update_prob_mc_Ctx.bpo	2466	853c636adc9f1a02fc8302580c2b4023fca78a133d6282255b26678eab4c750c
aman	M0_AMAN_Update_prob_mc_Ctx.bps	262	62869ca9a10647326a52a59d8e613af3787fb4400339e5c2c04be780553a65b6
aman	M0_AMAN_Update_prob_mc_Ctx.buc	750	7c17bbc32a9c3ff52c1b4825974c975a9101d9be190a82b9fa4f635b99b75705
aman	M1_Landing_Sequence.bpo	35900	6e6c7fb35055b70332890fd6007e62daf3f4d503d7691b08efa79e0bd98956d6
aman	M1_Landing_Sequence.bps	2156	eee70dc81524cd52c051051ca147406a3eace9a3d222928e58f75f2233bb9eca
aman	M1_Landing_Sequence.bum	6430	478324751daf83fb97c0a19a3e3a85b4b356dcc1e84f7fec4ddea62de1d02ab5
aman	M1_Landing_Sequence_Ctx.bpo	9309	8f971bfced7f6d7224ba6741f1c8e0c68dfa4e6e9f7a570aa3b5fe01b4c503f7
aman	M1_Landing_Sequence_Ctx.bps	682	79c8c74a37a27e90490aea452c758def3b48eff80474f2a56bcf0bfa82fd20e7
aman	M1_Landing_Sequence_Ctx.buc	3029	5b71100132a82ab22b20d64a1cbb323a7a8c3132b2d575c860542419a6f8c3de
aman	M1_Landing_Sequence_prob_mc_Ctx.bpo	4229	fd5878584a5180c0ab3249fda47e5bdd226abdd525e1d84ef3bc51108f80fb80
aman	M1_Landing_Sequence_prob_mc_Ctx.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
aman	M1_Landing_Sequence_prob_mc_Ctx.buc	1187	81b34019bd4ceda4169c7016ce0ee93329d15a382ead88f73f1b4838d666a7c3
